"","treatment","groupID","round","contribution","endowment","share","stock","gain","bot_active","disaster","EWE","noComprehension"
"69","Hi000","Hi000_16",9,50.75,128,0.391181716659109,154.25,26.25,0,0,0,1
"70","Hi000","Hi000_16",10,46.5,154.25,0.300675524833253,177.75,23.5,0,0,0,1
"71","Hi000","Hi000_17",1,13.25,20,0.6625,26.75,6.75,0,0,0,1
"72","Hi000","Hi000_17",2,18.25,26.75,0.670788888530824,36.5,9.75,0,0,0,1
"73","Hi000","Hi000_17",3,22.25,36.5,0.610119047619048,48.25,11.75,0,0,0,1
"74","Hi000","Hi000_17",4,26.5,48.25,0.541430550874434,61.75,13.5,0,0,0,1
"75","Hi000","Hi000_17",5,28.25,61.75,0.455600431906402,76.5,14.75,0,0,0,1
"76","Hi000","Hi000_17",6,29.75,76.5,0.390249740430702,91.75,15.25,0,0,0,1
"77","Hi000","Hi000_17",7,39.25,91.75,0.429466779095492,111.5,19.75,0,0,0,1
"78","Hi000","Hi000_17",8,45,111.5,0.401831111792043,134.5,23,0,0,0,1
"79","Hi000","Hi000_17",9,41.25,134.5,0.306554303215727,155.25,20.75,0,0,0,1
"80","Hi000","Hi000_17",10,49.5,155.25,0.318663324244472,180.75,25.5,0,0,0,1
"81","Hi000","Hi000_18",1,14.25,20,0.7125,27.75,7.75,0,0,0,0
"82","Hi000","Hi000_18",2,18,27.75,0.643764122212398,36.75,9,0,0,0,0
"83","Hi000","Hi000_18",3,22,36.75,0.599428104575163,47.75,11,0,0,0,0
"84","Hi000","Hi000_18",4,27.25,47.75,0.564484052532833,61.5,13.75,0,0,0,0
"85","Hi000","Hi000_18",5,29,61.5,0.470931944104114,76.5,15,0,0,0,0
"86","Hi000","Hi000_18",6,39.5,76.5,0.510284852689253,97,20.5,0,0,0,0
"87","Hi000","Hi000_18",7,40.5,97,0.419053304787,117.5,20.5,0,0,0,0
"88","Hi000","Hi000_18",8,38,117.5,0.325970928800197,136.5,19,0,0,0,0
"89","Hi000","Hi000_18",9,48.75,136.5,0.351826098660923,161.75,25.25,0,0,0,0
"90","Hi000","Hi000_18",10,42.5,161.75,0.261972269997701,183.25,21.5,0,0,0,0
"91","Hi000","Hi000_19",1,10.75,20,0.5375,26.25,6.25,0,0,0,0
"92","Hi000","Hi000_19",2,17.5,26.25,0.665027605244996,35.75,9.5,0,0,0,0
